converted from lammps dump file
 
 46656 atoms
 
1 atom types
 
         -0.2154440000          50.6907000000  xlo xhi
         -0.2154440000          50.6907000000  ylo yhi
         -0.2154440000          50.6907000000  zlo zhi
 
  Masses
 
  1 12.0107
 
  Atoms
 
1 1 5.46013 50.408 7.19503
2 1 8.97324 50.5068 7.14341
3 1 17.5092 2.39922 8.74915
4 1 22.3318 2.80733 7.3943
5 1 29.2998 5.89511 10.4452
6 1 45.2622 4.94626 9.21369
7 1 3.01198 8.15153 2.86278
8 1 6.25835 7.65507 12.5155
9 1 21.6193 9.78953 9.35298
10 1 23.8417 7.23923 8.90442
11 1 30.6941 8.01211 4.19269
12 1 45.5944 3.96572 6.68156
13 1 3.71816 19.2721 7.90169
14 1 10.0273 20.01 10.3917
15 1 14.1883 18.6448 8.79557
16 1 24.3646 19.4866 10.6012
17 1 33.4591 22.2946 2.11798
18 1 40.6627 17.3435 3.91705
19 1 1.96559 23.2112 5.74146
20 1 6.87668 29.0889 4.98614
21 1 13.3096 24.6101 3.58868
22 1 28.6416 23.5191 6.17501
23 1 36.1149 27.5903 6.2973
24 1 41.9839 26.1439 6.39964
25 1 0.732718 37.0986 10.6115
26 1 7.46149 38.6255 9.73673
27 1 16.3734 37.5129 6.36484
28 1 29.392 40.07 7.498
29 1 40.4368 36.8483 7.46978
30 1 43.125 40.0298 6.36187
31 1 -0.00982613 44.1417 11.2484
32 1 7.54006 43.5641 7.15166
33 1 17.2372 43.4457 6.02144
34 1 22.539 49.5964 12.2474
35 1 31.5905 40.4297 10.7188
36 1 42.179 47.6634 12.5075
37 1 50.3916 1.36884 20.3092
38 1 7.60373 4.50227 18.922
39 1 15.8153 3.14205 13.6904
40 1 29.8555 1.25365 18.7993
41 1 32.7336 46.7595 15.7884
42 1 45.4194 47.8903 14.6272
43 1 42.398 8.1596 17.4673
44 1 8.29776 14.7584 19.4507
45 1 16.4145 4.44034 18.3499
46 1 27.0209 9.06991 13.5795
47 1 33.8565 10.8152 17.7123
48 1 39.0373 11.554 16.4863
49 1 2.1165 13.578 16.6873
50 1 6.9262 15.2007 23.0597
51 1 18.3165 21.7893 16.1359
52 1 25.7817 24.254 20.5254
53 1 37.8352 24.6066 15.0398
54 1 39.3876 14.703 16.411
55 1 0.107439 31.1757 17.5978
56 1 6.15087 28.0869 18.2414
57 1 17.0042 25.5766 19.9477
58 1 26.1988 22.1859 16.1909
59 1 37.3373 30.913 16.0012
60 1 40.4842 24.726 13.9791
61 1 49.6506 37.1496 11.6128
62 1 6.96898 29.7678 11.2639
63 1 16.3491 39.6276 14.5117
64 1 25.9685 30.7574 13.8851
65 1 34.2532 38.3858 16.804
66 1 42.0947 35.1451 16.4145
67 1 48.0877 41.8589 17.5255
68 1 7.35341 42.7709 22.2686
69 1 22.6145 42.6018 20.96
70 1 24.1726 40.5137 17.7783
71 1 35.811 45.5672 18.3833
72 1 42.8016 43.6588 16.3787
73 1 0.725137 1.43026 25.9026
74 1 10.7796 48.2063 22.5608
75 1 14.937 45.4353 26.5433
76 1 25.0984 1.65622 27.7827
77 1 36.9033 1.28844 25.5343
78 1 44.2669 2.94984 25.9091
79 1 5.43828 14.0824 23.4036
80 1 6.21714 11.2687 27.5774
81 1 19.3498 3.98289 25.6451
82 1 31.3899 12.2574 29.2214
83 1 34.1977 4.47086 26.0509
84 1 47.0285 8.24215 25.5465
85 1 47.4408 21.7687 27.0743
86 1 11.0019 19.1576 24.609
87 1 15.4151 18.3523 24.0696
88 1 33.2677 15.4338 22.7139
89 1 34.2161 20.9178 21.8245
90 1 43.8891 17.2132 22.7154
91 1 0.278279 25.1018 33.3931
92 1 1.53609 28.8725 19.6844
93 1 20.5837 30.1467 28.3374
94 1 22.3576 29.7731 25.8551
95 1 30.2267 26.047 26.4738
96 1 46.0935 26.1247 19.8216
97 1 48.1809 34.1199 22.1262
98 1 9.11765 35.7778 30.2464
99 1 20.3806 37.6811 22.476
100 1 24.9624 32.6034 27.1176
101 1 32.1067 30.3902 23.4217
102 1 41.22 36.9409 26.6254
103 1 8.77538 38.2679 27.319
104 1 9.90343 40.7165 29.4844
105 1 17.5874 42.8581 25.3578
106 1 24.0924 40.9017 26.9536
107 1 29.9217 37.262 24.6487
108 1 41.3726 44.2201 23.3393
109 1 -0.102175 4.86072 35.2007
110 1 6.04402 49.5474 32.9461
111 1 15.6721 4.63733 33.804
112 1 28.149 49.8037 29.7226
113 1 38.5541 -0.176731 39.6375
114 1 41.5628 3.30737 31.7168
115 1 49.6447 11.5709 37.7991
116 1 9.16157 12.0971 36.3583
117 1 19.1142 10.6931 35.7583
118 1 22.4412 6.02516 29.7074
119 1 36.5197 8.61689 34.9522
120 1 44.7904 7.92625 34.1874
121 1 49.9213 19.7433 33.6899
122 1 15.4389 18.8074 38.1877
123 1 15.2594 17.7079 32.7186
124 1 25.52 21.3876 36.8421
125 1 34.5573 21.1853 35.1712
126 1 44.5128 19.451 34.3391
127 1 3.0455 26.2369 33.4405
128 1 8.43827 33.8623 31.4667
129 1 18.4232 29.6637 29.9325
130 1 26.7294 32.7768 32.8775
131 1 36.5517 29.6885 33.0971
132 1 46.1124 24.2682 33.9381
133 1 1.80655 32.9089 22.7818
134 1 3.196 33.0743 34.7582
135 1 12.25 34.989 33.515
136 1 27.7482 41.5532 33.2106
137 1 33.5063 33.7235 34.1826
138 1 45.7206 32.569 30.3883
139 1 48.1807 42.8101 34.7394
140 1 11.2862 41.6133 34.6618
141 1 9.62306 39.2878 31.6732
142 1 24.3396 44.7042 36.7225
143 1 26.0194 45.7488 41.6882
144 1 42.7026 42.3606 33.6865
145 1 48.9097 -0.165077 44.4518
146 1 2.42535 48.1978 41.6368
147 1 18.2257 1.84241 40.5974
148 1 26.6634 1.18773 41.8101
149 1 37.7122 3.24712 45.6151
150 1 41.1313 4.87608 46.5369
151 1 48.6624 7.75053 40.8322
152 1 7.39157 11.8346 45.1035
153 1 18.6479 14.8717 46.0276
154 1 22.4914 8.80499 40.8238
155 1 34.3936 12.0918 40.5274
156 1 40.9073 9.76682 44.6355
157 1 49.0385 19.9066 43.5487
158 1 8.61451 22.4098 45.5699
159 1 17.0247 21.0819 37.0315
160 1 23.806 23.5939 48.2343
161 1 30.4568 20.9223 40.2813
162 1 33.9021 23.6397 37.5045
163 1 1.37899 27.6733 42.1919
164 1 11.9495 30.668 42.3881
165 1 19.6949 30.9762 41.7768
166 1 26.7754 24.7074 46.1137
167 1 39.3048 26.7447 44.459
168 1 39.0373 26.3898 45.7277
169 1 0.285765 36.9255 42.7208
170 1 14.064 37.9227 38.8041
171 1 19.499 38.9594 42.7709
172 1 26.2911 35.3331 42.6395
173 1 34.4278 33.7094 39.2294
174 1 44.5419 38.2779 39.932
175 1 0.645686 46.9796 44.4489
176 1 10.9374 0.949904 37.6184
177 1 21.4103 0.144604 45.0526
178 1 26.6683 48.4952 41.3018
179 1 39.4209 46.4699 47.9862
180 1 43.4843 42.6671 40.6893
181 1 49.4392 50.1438 49.0046
182 1 10.0138 50.3897 4.38552
183 1 16.6004 1.08496 7.13836
184 1 30.3612 3.0344 47.1201
185 1 38.2359 49.0397 46.4963
186 1 41.1788 7.43857 -0.0533575
187 1 48.2035 7.43956 48.2674
188 1 15.2964 10.2661 2.39601
189 1 20.9895 11.7884 49.3776
190 1 29.691 10.1096 -0.069914
191 1 31.2953 7.76999 0.95519
192 1 45.439 12.2484 46.7945
193 1 48.8628 16.9117 0.164223
194 1 6.54936 19.574 2.8199
195 1 18.4242 20.0876 43.3893
196 1 26.5867 19.7692 45.2427
197 1 32.8638 16.8312 49.2172
198 1 41.5935 17.7981 0.258395
199 1 47.3367 21.1096 2.237
200 1 9.59903 22.2097 48.5181
201 1 17.1028 28.7106 4.12398
202 1 24.4855 29.6113 50.5727
203 1 37.2422 26.3352 48.1836
204 1 41.3438 28.663 1.31855
205 1 2.1089 31.8779 -0.203945
206 1 6.07157 36.6525 5.38007
207 1 14.352 36.8741 46.6406
208 1 26.0705 34.0705 0.580536
209 1 32.6705 34.1479 3.88354
210 1 42.7484 34.8055 48.6577
211 1 49.3891 47.4571 50.4834
212 1 8.40955 40.5514 1.39159
213 1 12.5482 42.764 50.6148
214 1 17.7244 44.3715 1.24265
215 1 35.0323 42.636 47.0152
216 1 41.5291 39.2266 47.0054
217 1 0.499295 6.78115 3.67174
218 1 8.11389 3.64992 47.9314
219 1 22.0429 50.0054 0.931206
220 1 30.3276 4.29829 5.69123
